Year,GeoID,Geography Type,Geography Name,Proficiency,Age,Value,Margin of Error,Measure,ObjectId
2010,0900104720,Town,Bethel,Not Well,18 to 64,83,135,Count,31
2010,0900104720,Town,Bethel,Not Well,5 to 17,11,214,Count,32
2010,0900104720,Town,Bethel,Not Well,65 and Over,98,101,Count,33
2010,0900104720,Town,Bethel,Not at All,18 to 64,40,183,Count,34
2010,0900104720,Town,Bethel,Not at All,5 to 17,0,246,Count,35
2010,0900104720,Town,Bethel,Not at All,65 and Over,21,126,Count,36
2010,0900104720,Town,Bethel,Total,18 to 64,11304,614,Count,37
2010,0900104720,Town,Bethel,Total,5 to 17,3247,359,Count,38
2010,0900104720,Town,Bethel,Total,65 and Over,2735,787,Count,39
2010,0900104720,Town,Bethel,Very Well,18 to 64,10618,641,Count,40
2010,0900104720,Town,Bethel,Very Well,5 to 17,3157,372,Count,41
2010,0900104720,Town,Bethel,Very Well,65 and Over,2582,744,Count,42
2010,0900104720,Town,Bethel,Well,18 to 64,563,185,Count,43
2010,0900104720,Town,Bethel,Well,5 to 17,79,205,Count,44
2010,0900104720,Town,Bethel,Well,65 and Over,34,177,Count,45
2010,0900108070,Town,Bridgeport,Not Well,18 to 64,8561,880,Count,46
2010,0900108070,Town,Bridgeport,Not Well,5 to 17,528,202,Count,47
2010,0900108070,Town,Bridgeport,Not Well,65 and Over,1691,314,Count,48
2010,0900108070,Town,Bridgeport,Not at All,18 to 64,3240,533,Count,49
2010,0900108070,Town,Bridgeport,Not at All,5 to 17,178,159,Count,50
2010,0900174190,Town,Stratford,Not Well,18 to 64,1215,569,Count,51
2010,0900174190,Town,Stratford,Not Well,5 to 17,110,147,Count,52
2010,0900174190,Town,Stratford,Not Well,65 and Over,247,211,Count,53
2010,0900174190,Town,Stratford,Not at All,18 to 64,313,295,Count,54
2010,0900174190,Town,Stratford,Not at All,5 to 17,7,213,Count,55
2010,0900174190,Town,Stratford,Not at All,65 and Over,128,156,Count,56
2010,0900174190,Town,Stratford,Total,18 to 64,30822,545,Count,57
2010,0900174190,Town,Stratford,Total,5 to 17,8416,487,Count,58
2010,0900174190,Town,Stratford,Total,65 and Over,8613,462,Count,59
2010,0900174190,Town,Stratford,Very Well,18 to 64,27680,1086,Count,60
2010,0900174190,Town,Stratford,Very Well,5 to 17,8164,606,Count,61
2010,0900174190,Town,Stratford,Very Well,65 and Over,8048,454,Count,62
2010,0900174190,Town,Stratford,Well,18 to 64,1614,345,Count,63
2010,0900174190,Town,Stratford,Well,5 to 17,135,191,Count,64
2010,0900174190,Town,Stratford,Well,65 and Over,190,194,Count,65
2010,0900177200,Town,Trumbull,Not Well,18 to 64,221,95,Count,66
2010,0900177200,Town,Trumbull,Not Well,5 to 17,73,181,Count,67
2010,0900177200,Town,Trumbull,Not Well,65 and Over,237,129,Count,68
2010,0900177200,Town,Trumbull,Not at All,18 to 64,5,213,Count,69
2010,0900177200,Town,Trumbull,Not at All,5 to 17,0,246,Count,70
2010,0900177200,Town,Trumbull,Not at All,65 and Over,48,179,Count,71
2010,0900177200,Town,Trumbull,Total,18 to 64,19045,590,Count,72
